2024-07-09 10:51:08 - HV000001: Hibernate Validator 8.0.1.Final
2024-07-09 10:51:10 - Adding type registration pg-uuid -> org.hibernate.type.BasicTypeReference@6ca21cfa
2024-07-09 10:51:10 - Adding type registration uuid-binary -> org.hibernate.type.BasicTypeReference@42a7d4d4
2024-07-09 10:51:10 - Adding type registration uuid-char -> org.hibernate.type.BasicTypeReference@3b51c30f
2024-07-09 10:51:10 - Adding type registration class -> org.hibernate.type.BasicTypeReference@51e03d6f
2024-07-09 10:51:10 - Adding type registration java.lang.Class -> org.hibernate.type.BasicTypeReference@51e03d6f
2024-07-09 10:51:10 - Adding type registration currency -> org.hibernate.type.BasicTypeReference@2dd9be65
2024-07-09 10:51:10 - Adding type registration Currency -> org.hibernate.type.BasicTypeReference@2dd9be65
2024-07-09 10:51:10 - Adding type registration java.util.Currency -> org.hibernate.type.BasicTypeReference@2dd9be65
2024-07-09 10:51:10 - Adding type registration locale -> org.hibernate.type.BasicTypeReference@51a4ce7e
2024-07-09 10:51:10 - Adding type registration java.util.Locale -> org.hibernate.type.BasicTypeReference@51a4ce7e
2024-07-09 10:51:10 - Adding type registration serializable -> org.hibernate.type.BasicTypeReference@64d836fe
2024-07-09 10:51:10 - Adding type registration java.io.Serializable -> org.hibernate.type.BasicTypeReference@64d836fe
2024-07-09 10:51:10 - Adding type registration timezone -> org.hibernate.type.BasicTypeReference@3483744f
2024-07-09 10:51:10 - Adding type registration java.util.TimeZone -> org.hibernate.type.BasicTypeReference@3483744f
2024-07-09 10:51:10 - Adding type registration ZoneOffset -> org.hibernate.type.BasicTypeReference@5449ce2c
2024-07-09 10:51:10 - Adding type registration java.time.ZoneOffset -> org.hibernate.type.BasicTypeReference@5449ce2c
2024-07-09 10:51:10 - Adding type registration url -> org.hibernate.type.BasicTypeReference@23e93de5
2024-07-09 10:51:10 - Adding type registration java.net.URL -> org.hibernate.type.BasicTypeReference@23e93de5
